"AC-11","2","0","Session Lock","The information system: Prevents further access to the system by initiating a session lock after [ Assignment: organization-defined time period ] of inactivity or upon receiving a request from a user; and Retains the session lock until the user reestablis","A session lock is a temporary action taken when a user stops work and moves away from the immediate physical vicinity of the information system but does not want to log out because of the temporary nature of the absence. The session lock is implemented at","3","52","1"
"AC-12","0","1","Session Termination"," Withdrawn: Incorporated into SC-10 ].",\N,\N,"54","1"
"AC-13","0","1","Supervision and Review Access Control"," Withdrawn: Incorporated into AC-2 and AU-6 ].",\N,\N,"55","1"
"AC-14","3","0","Permitted Actions Without Identification Or Authentication","The organization: Identifies specific user actions that can be performed on the information system without identification or authentication; and Documents and provides supporting rationale in the security plan for the information system, user actions not ","This control is intended for those specific instances where an organization determines that no identification and authentication is required; it is not, however, mandating that such instances exist in given information system. The organization may allow a","1","56","1"
"AC-15","0","1","Automated Marking"," Withdrawn: Incorporated into MP-3 ].",\N,\N,"58","1"
"AC-16","0","0","Security Attributes","The information system supports and maintains the binding of [ Assignment: organization-defined security attributes ] to information in storage, in process, and in transmission.","Security attributes are abstractions representing the basic properties or characteristics of an entity (e.g., subjects and objects) with respect to safeguarding information. These attributes are typically associated with internal data structures (e.g., re","0","59","1"
"AC-17","3","0","Remote Access","The organization: Documents allowed methods of remote access to the information system; Establishes usage restrictions and implementation guidance for each allowed remote access method; Monitors for unauthorized remote access to the information system; Au","This control requires explicit authorization prior to allowing remote access to an information system without specifying a specific format for that authorization. For example, while the organization may deem it appropriate to use a system interconnection ","1","65","1"
"AC-18","3","0","Wireless Access","The organization: Establishes usage restrictions and implementation guidance for wireless access; Monitors for unauthorized wireless access to the information system; Authorizes wireless access to the information system prior to connection; and Enforces r","Wireless technologies include, but are not limited to, microwave, satellite, packet radio (UHF/VHF), 802.11x, and Bluetooth. Wireless networks use authentication protocols (e.g., EAP/TLS, PEAP), which provide credential protection and mutual authenticatio","1","74","1"
"AC-19","3","0","Access Control for Mobile Devices","The organization: Establishes usage restrictions and implementation guidance for organization-controlled mobile devices; Authorizes connection of mobile devices meeting organizational usage restrictions and implementation guidance to organizational inform","Mobile devices include portable storage media (e.g., USB memory sticks, external hard disk drives) and portable computing and communications devices with information storage capability (e.g., notebook/laptop computers, personal digital assistants, cellula","1","80","1"
"AC-20","3","0","Use of External Information Systems","The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to: Access the information ","External information systems are information systems or components of information systems that are outside of the authorization boundary established by the organization and for which the organization typically has no direct supervision and authority over ","1","85","1"
"AC-21","0","0","User-based Collaboration and Information Sharing","The organization: Facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for [ Assignment: organization-defined information s","The control applies to information that may be restricted in some manner (e.g., privileged medical, contract-sensitive, proprietary, personally identifiable information, special access programs/compartments) based on some formal or administrative determin","0","88","1"
"AC-22","3","0","Publicly Accessible Content","The organization: Designates individuals authorized to post information onto an organizational information system that is publicly accessible; Trains authorized individuals to ensure that publicly accessible information does not contain nonpublic informat","Nonpublic information is any information for which the general public is not authorized access in accordance with federal laws, Executive Orders, directives, policies, regulations, standards, or guidance. Information protected under the Privacy Act and ve","2","90","1"
"AT-1","3","0","Security Awareness and Training Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented security awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, coordin","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the security awareness and training family. The policy and procedures are consistent","1","91","1"
"AT-2","3","0","Security Awareness","The organization provides basic security awareness training to all information system users (including managers, senior executives, and contractors) as part of initial training for new users, when required by system changes, and [ Assignment: organization","The organization determines the appropriate content of security awareness training and security awareness techniques based on the specific requirements of the organization and the information systems to which personnel have authorized access. The content ","1","92","1"
"AT-3","3","0","Security Training","The organization provides role-based security-related training: (i) before authorizing access to the system or performing assigned duties; (ii) when required by system changes; and (iii) [ Assignment: organization-defined frequency ] thereafter.","The organization determines the appropriate content of security training based on assigned roles and responsibilities and the specific requirements of the organization and the information systems to which personnel have authorized access. In addition, the","1","94","1"
"AT-4","3","0","Security Training Records","The organization: Documents and monitors individual information system security training activities including basic security awareness training and specific information system security training; and Retains individual training records for [ Assignment: or","While an organization may deem that organizationally mandated individual training programs and the development of individual training plans are necessary, this control does not mandate either. Documentation for specialized training may be maintained by in","3","97","1"
"AT-5","0","0","Contacts With Security Groups and Associations","The organization establishes and institutionalizes contact with selected groups and associations within the security community: - To facilitate ongoing security education and training for organizational personnel; - To stay up to date with the latest reco","Ongoing contact with security groups and associations is of paramount importance in an environment of rapid technology changes and dynamic threats. Security groups and associations can include, for example, special interest groups, specialized forums, pro","0","98","1"
"AU-1","3","0","Audit and Accountability Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination a","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the audit and accountability family. The policy and procedures are consistent with a","1","99","1"
"AU-2","3","0","Auditable Events","The organization: Determines, based on a risk assessment and mission/business needs, that the information system must be capable of auditing the following events: [ Assignment: organization-defined list of auditable events ]; Coordinates the security audi","The purpose of this control is for the organization to identify events which need to be auditable as significant and relevant to the security of the information system; giving an overall system requirement in order to meet ongoing and specific audit needs","1","100","1"
"AU-3","3","0","Content of Audit Records","The information system produces audit records that contain sufficient information to, at a minimum, establish what type of event occurred, when (date and time) the event occurred, where the event occurred, the source of the event, the outcome (success or ","Audit record content that may be necessary to satisfy the requirement of this control, includes, for example, time stamps, source and destination addresses, user/process identifiers, event descriptions, success/fail indications, filenames involved, and ac","1","105","1"
"AU-4","3","0","Audit Storage Capacity","The organization allocates audit record storage capacity and configures auditing to reduce the likelihood of such capacity being exceeded.","The organization considers the types of auditing to be performed and the audit processing requirements when allocating audit storage capacity. Related controls: AU-2, AU-5, AU-6, AU-7, SI-4.","1","108","1"
"AU-5","3","0","Response To Audit Processing Failures","The information system: Alerts designated organizational officials in the event of an audit processing failure; and Takes the following additional actions: [ Assignment: organization-defined actions to be taken (e.g., shut down information system, overwri","Audit processing failures include, for example, software/hardware errors, failures in the audit capturing mechanisms, and audit storage capacity being reached or exceeded. Related control: AU-4.","1","109","1"
"AU-6","3","0","Audit Review, Analysis, and Reporting","The organization: Reviews and analyzes information system audit records [ Assignment: organization-defined frequency ] for indications of inappropriate or unusual activity, and reports findings to designated organizational officials; and Adjusts the level","Related control: AU-7.","1","114","1"
"AU-7","2","0","Audit Reduction and Report Generation","The information system provides an audit reduction and report generation capability.","An audit reduction and report generation capability provides support for near real-time audit review, analysis, and reporting requirements described in AU-6 and after-the-fact investigations of security incidents. Audit reduction and reporting tools do no","2","124","1"
"AU-8","3","0","Time Stamps","The information system uses internal system clocks to generate time stamps for audit records.","Time stamps generated by the information system include both date and time. The time may be expressed in Coordinated Universal Time (UTC), a modern continuation of Greenwich Mean Time (GMT), or local time with an offset from UTC. Related control: AU-3.","1","126","1"
"AU-9","3","0","Protection of Audit Information","The information system protects audit information and audit tools from unauthorized access, modification, and deletion.","Audit information includes all information (e.g., audit records, audit settings, and audit reports) needed to successfully audit information system activity. Related controls: AC-3, AC-6.","1","128","1"
"AU-10","1","0","Non-repudiation","The information system protects against an individual falsely denying having performed a particular action.","Examples of particular actions taken by individuals include creating information, sending a message, approving information (e.g., indicating concurrence or signing a contract), and receiving a message. Non-repudiation protects individuals against later cl","1","133","1"
"AU-11","3","0","Audit Record Retention","The organization retains audit records for [ Assignment: organization-defined time period consistent with records retention policy ] to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational infor","The organization retains audit records until it is determined that they are no longer needed for administrative, legal, audit, or other operational purposes. This includes, for example, retention and availability of audit records relative to Freedom of In","3","139","1"
"AU-12","3","0","Audit Generation","The information system: Provides audit record generation capability for the list of auditable events defined in AU-2 at [ Assignment: organization-defined information system components ]; Allows designated organizational personnel to select which auditabl","Audits records can be generated from various components within the information system. The list of audited events is the set of events for which audits are to be generated. This set of events is typically a subset of the list of all events for which the s","1","140","1"
"AU-13","0","0","Monitoring for Information Disclosure","The organization monitors open source information for evidence of unauthorized exfiltration or disclosure of organizational information [ Assignment: organization-defined frequency ].","None.","0","143","1"
"AU-14","0","0","Session Audit","The information system provides the capability to: Capture/record and log all content related to a user session; and Remotely view/hear all content related to an established user session in real time.","Session auditing activities are developed, integrated, and used in consultation with legal counsel in accordance with applicable federal laws, Executive Orders, directives, policies, or regulations.","0","144","1"
"CA-1","3","0","Security Assessment and Authorization Policies and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: Formal, documented security assessment and authorization policies that address purpose, scope, roles, responsibilities, management commitment, coo","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the security assessment and authorization family. The policies and procedures are co","1","146","1"
"CA-2","3","0","Security Assessments","The organization: Develops a security assessment plan that describes the scope of the assessment including: Security controls and control enhancements under assessment; Assessment procedures to be used to determine security control effectiveness; and Asse","The organization assesses the security controls in an information system as part of: (i) security authorization or reauthorization; (ii) meeting the FISMA requirement for annual assessments; (iii) continuous monitoring; and (iv) testing/evaluation of the ","2","147","1"
"CA-3","3","0","Information System Connections","The organization: Authorizes connections from the information system to other information systems outside of the authorization boundary through the use of Interconnection Security Agreements; Documents, for each connection, the interface characteristics, ","This control applies to dedicated connections between information systems and does not apply to transitory, user-controlled connections such as email and website browsing. The organization carefully considers the risks that may be introduced when informat","1","150","1"
"CA-4","0","1","Security Certification"," Withdrawn: Incorporated into CA-2 ].",\N,\N,"153","1"
"CA-5","3","0","Plan of Action and Milestones","The organization: Develops a plan of action and milestones for the information system to document the organizations planned remedial actions to correct weaknesses or deficiencies noted during the assessment of the security controls and to reduce or elimin","The plan of action and milestones is a key document in the security authorization package and is subject to federal reporting requirements established by OMB. Related control: PM-4.","3","154","1"
"CA-6","3","0","Security Authorization","The organization: Assigns a senior-level executive or manager to the role of authorizing official for the information system; Ensures that the authorizing official authorizes the information system for processing before commencing operations; and Updates ","Security authorization is the official management decision, conveyed through the authorization decision document, given by a senior organizational official or executive (i.e., authorizing official) to authorize operation of an information system and to ex","3","156","1"
"CA-7","3","0","Continuous Monitoring","The organization establishes a continuous monitoring strategy and implements a continuous monitoring program that includes: A configuration management process for the information system and its constituent components; A determination of the security impac","A continuous monitoring program allows an organization to maintain the security authorization of an information system over time in a highly dynamic environment of operation with changing threats, vulnerabilities, technologies, and missions/business proce","3","157","1"
"CM-1","3","0","Configuration Management Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination a","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the configuration management family. The policy and procedures are consistent with a","1","160","1"
"CM-2","3","0","Baseline Configuration","The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system.","This control establishes a baseline configuration for the information system and its constituent components including communications and connectivity-related aspects of the system. The baseline configuration provides information about the components of an","1","161","1"
"CM-3","2","0","Configuration Change Control","The organization: Determines the types of changes to the information system that are configuration controlled; Approves configuration-controlled changes to the system with explicit consideration for security impact analyses; Documents approved configurati","The organization determines the types of changes to the information system that are configuration controlled. Configuration change control for the information system involves the systematic proposal, justification, implementation, test/evaluation, review,","1","168","1"
"CM-4","3","0","Security Impact Analysis","The organization analyzes changes to the information system to determine potential security impacts prior to change implementation.","Security impact analyses are conducted by organizational personnel with information security responsibilities, including for example, Information System Administrators, Information System Security Officers, Information System Security Managers, and Inform","2","173","1"
"CM-5","2","0","Access Restrictions for Change","The organization defines, documents, approves, and enforces physical and logical access restrictions associated with changes to the information system.","Any changes to the hardware, software, and/or firmware components of the information system can potentially have significant effects on the overall security of the system. Accordingly, only qualified and authorized individuals are allowed to obtain access","1","176","1"
"CM-6","3","0","Configuration Settings","The organization: Establishes and documents mandatory configuration settings for information technology products employed within the information system using [ Assignment: organization-defined security configuration checklists ] that reflect the most rest","Configuration settings are the configurable security-related parameters of information technology products that are part of the information system. Security-related parameters are those parameters impacting the security state of the system including param","1","184","1"
"CM-7","3","0","Least Functionality","The organization configures the information system to provide only essential capabilities and specifically prohibits or restricts the use of the following functions, ports, protocols, and/or services: [ Assignment: organization-defined list of prohibited ","Information systems are capable of providing a wide variety of functions and services. Some of the functions and services, provided by default, may not be necessary to support essential organizational operations (e.g., key missions, functions). Additional","1","189","1"
"CM-8","3","0","Information System Component Inventory","The organization develops, documents, and maintains an inventory of information system components that: Accurately reflects the current information system; Is consistent with the authorization boundary of the information system; Is at the level of granula","Information deemed to be necessary by the organization to achieve effective property accountability can include, for example, hardware inventory specifications (manufacturer, type, model, serial number, physical location), software license information, in","1","193","1"
"CM-9","2","0","Configuration Management Plan","The organization develops, documents, and implements a configuration management plan for the information system that: Addresses roles, responsibilities, and configuration management processes and procedures; Defines the configuration items for the informa","Configuration items are the information system items (hardware, software, firmware, and documentation) to be configuration managed. The configuration management plan satisfies the requirements in the organizations configuration management policy while bei","1","200","1"
"CP-1","3","0","Contingency Planning Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the contingency planning family. The policy and procedures are consistent with appli","1","202","1"
"CP-2","3","0","Contingency Plan","The organization: Develops a contingency plan for the information system that: Identifies essential missions and business functions and associated contingency requirements; Provides recovery objectives, restoration priorities, and metrics; Addresses conti","Contingency planning for information systems is part of an overall organizational program for achieving continuity of operations for mission/business operations. Contingency planning addresses both information system restoration and implementation of alte","1","203","1"
"CP-3","3","0","Contingency Training","The organization trains personnel in their contingency roles and responsibilities with respect to the information system and provides refresher training [ Assignment: organization-defined frequency ].","None.","2","210","1"
"CP-4","3","0","Contingency Plan Testing and Exercises","The organization: Tests and/or exercises the contingency plan for the information system [ Assignment: organization-defined frequency ] using [ Assignment: organization-defined tests and/or exercises ] to determine the plans effectiveness and the organiza","There are several methods for testing and/or exercising contingency plans to identify potential weaknesses (e.g., checklist, walk-through/tabletop, simulation: parallel, full interrupt). Contingency plan testing and/or exercises include a determination of","2","213","1"
"CP-5","0","1","Contingency Plan Update","Withdrawn: Incorporated into CP-2 ].",\N,\N,"218","1"
"CP-6","2","0","Alternate Storage Site","The organization establishes an alternate storage site including necessary agreements to permit the storage and recovery of information system backup information.","Related controls: CP-2, CP-9, MP-4.","1","219","1"
"CP-7","2","0","Alternate Processing Site","The organization: Establishes an alternate processing site including necessary agreements to permit the resumption of information system operations for essential missions and business functions within [ Assignment: organization-defined time period consist","Related control: CP-2.","1","223","1"
"CP-8","2","0","Telecommunications Services","The organization establishes alternate telecommunications services including necessary agreements to permit the resumption of information system operations for essential missions and business functions within [ Assignment: organization-defined time period","Related control: CP-2.","1","229","1"
"CP-9","3","0","Information System Backup","The organization: Conducts backups of user-level information contained in the information system [ Assignment: organization-defined frequency consistent with recovery time and recovery point objectives ]; Conducts backups of system-level information conta","System-level information includes, for example, system-state information, operating system and application software, and licenses. Digital signatures and cryptographic hashes are examples of mechanisms that can be employed by organizations to protect the ","1","234","1"
"CP-10","3","0","Information System Recovery and Reconstitution","The organization provides for the recovery and reconstitution of the information system to a known state after a disruption, compromise, or failure.","Recovery is executing information system contingency plan activities to restore essential missions and business functions. Reconstitution takes place following recovery and includes activities for returning the information system to its original functiona","1","241","1"
"IA-1","3","0","Identification and Authentication Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coord","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the identification and authentication family. The policy and procedures are consiste","1","248","1"
"IA-2","3","0","Identification and Authentication (Organizational Users)","The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).","Organizational users include organizational employees or individuals the organization deems to have equivalent status of employees (e.g., contractors, guest researchers, individuals from allied nations). Users are uniquely identified and authenticated for","1","249","1"
"IA-3","2","0","Device Identification and Authentication","The information system uniquely identifies and authenticates [ Assignment: organization-defined list of specific and/or types of devices ] before establishing a connection.","The devices requiring unique identification and authentication may be defined by type, by specific device, or by a combination of type and device as deemed appropriate by the organization. The information system typically uses either shared known informat","1","259","1"
"IA-4","3","0","Identifier Management","The organization manages information system identifiers for users and devices by: Receiving authorization from a designated organizational official to assign a user or device identifier; Selecting an identifier that uniquely identifies an individual or de","Common device identifiers include media access control (MAC) or Internet protocol (IP) addresses, or device-unique token identifiers. Management of user identifiers is not applicable to shared information system accounts (e.g., guest and anonymous account","1","263","1"
"IA-5","3","0","Authenticator Management","The organization manages information system authenticators for users and devices by: Verifying, as part of the initial authenticator distribution, the identity of the individual and/or device receiving the authenticator; Establishing initial authenticator","User authenticators include, for example, passwords, tokens, biometrics, PKI certificates, and key cards. Initial authenticator content is the actual content (e.g., the initial password) as opposed to requirements about authenticator content (e.g., minimu","1","269","1"
"IA-6","3","0","Authenticator Feedback","The information system obscures feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals.","The feedback from the information system does not provide information that would allow an unauthorized user to compromise the authentication mechanism. Displaying asterisks when a user types in a password, is an example of obscuring feedback of authentica","1","278","1"
"IA-7","3","0","Cryptographic Module Authentication","The information system uses mechanisms for authentication to a cryptographic module that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication.","None.","1","279","1"
"IA-8","3","0","Identification and Authentication (Non-organizational Users)","The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).","Non-organizational users include all information system users other than organizational users explicitly covered by IA-2. Users are uniquely identified and authenticated for all accesses other than those accesses explicitly identified and documented by th","1","280","1"
"IR-1","3","0","Incident Response Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented incident response policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among or","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the incident response family. The policy and procedures are consistent with applicab","1","281","1"
"IR-2","3","0","Incident Response Training","The organization: Trains personnel in their incident response roles and responsibilities with respect to the information system; and Provides refresher training [ Assignment: organization-defined frequency ].","Incident response training includes user training in the identification and reporting of suspicious activities, both from external and internal sources. Related control: AT-3.","2","282","1"
"IR-3","2","0","Incident Response Testing and Exercises","The organization tests and/or exercises the incident response capability for the information system [ Assignment: organization-defined frequency ] using [ Assignment: organization-defined tests and/or exercises ] to determine the incident response effecti","None.","2","285","1"
"IR-4","3","0","Incident Handling","The organization: Implements an incident handling capability for security incidents that includes preparation, detection and analysis, containment, eradication, and recovery; Coordinates incident handling activities with contingency planning activities; a","Incident-related information can be obtained from a variety of sources including, but not limited to, audit monitoring, network monitoring, physical access monitoring, and user/administrator reports. Related controls: AU-6, CP-2, IR-2, IR-3, PE-6, SC-5, S","1","287","1"
"IR-5","3","0","Incident Monitoring","The organization tracks and documents information system security incidents.","Documenting information system security incidents includes, for example, maintaining records about each incident, the status of the incident, and other pertinent information necessary for forensics, evaluating incident details, trends, and handling. Incid","1","293","1"
"IR-6","3","0","Incident Reporting","The organization: Requires personnel to report suspected security incidents to the organizational incident response capability within [ Assignment: organization-defined time-period ]; and Reports security incident information to designated authorities.","The intent of this control is to address both specific incident reporting requirements within an organization and the formal incident reporting requirements for federal agencies and their subordinate organizations. The types of security incidents reported","1","295","1"
"IR-7","3","0","Incident Response Assistance","The organization provides an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the information system for the handling and reporting of security incidents.","Possible implementations of incident response support resources in an organization include a help desk or an assistance group and access to forensics services, when required. Related controls: IR-4, IR-6.","3","298","1"
"IR-8","3","0","Incident Response Plan","The organization: Develops an incident response plan that: Provides the organization with a roadmap for implementing its incident response capability; Describes the structure and organization of the incident response capability; Provides a high-level appr","It is important that organizations have a formal, focused, and coordinated approach to responding to incidents. The organizations mission, strategies, and goals for incident response help determine the structure of its incident response capability.","1","301","1"
"MA-1","3","0","System Maintenance Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented information system maintenance policy that addresses purpose, scope, roles, responsibilities, management commitment, coordina","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the system maintenance family. The policy and procedures are consistent with applica","1","302","1"
"MA-2","3","0","Controlled Maintenance","The organization: Schedules, performs, documents, and reviews records of maintenance and repairs on information system components in accordance with manufacturer or vendor specifications and/or organizational requirements; Controls all maintenance activit","The control is intended to address the information security aspects of the organizations information system maintenance program. Related controls: MP-6, SI-2.","2","303","1"
"MA-3","2","0","Maintenance Tools","The organization approves, controls, monitors the use of, and maintains on an ongoing basis, information system maintenance tools.","The intent of this control is to address the security-related issues arising from the hardware and software brought into the information system specifically for diagnostic and repair actions (e.g., a hardware or software packet sniffer that is introduced ","2","306","1"
"MA-4","3","0","Non-local Maintenance","The organization: Authorizes, monitors, and controls non-local maintenance and diagnostic activities; Allows the use of non-local maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the in","Non-local maintenance and diagnostic activities are those activities conducted by individuals communicating through a network; either an external network (e.g., the Internet) or an internal network. Local maintenance and diagnostic activities are those ac","1","311","1"
"MA-5","3","0","Maintenance Personnel","The organization: Establishes a process for maintenance personnel authorization and maintains a current list of authorized maintenance organizations or personnel; and Ensures that personnel performing maintenance on the information system have required ac","Individuals not previously identified in the information system, such as vendor personnel and consultants, may legitimately require privileged access to the system, for example, when required to conduct maintenance or diagnostic activities with little or ","1","319","1"
"MA-6","2","0","Timely Maintenance","The organization obtains maintenance support and/or spare parts for [ Assignment: organization-defined list of security-critical information system components and/or key information technology components ] within [ Assignment: organization-defined time pe","The organization specifies those information system components that, when not operational, result in increased risk to organizations, individuals, or the Nation because the security functionality intended by that component is not being provided. Security-","1","324","1"
"MP-1","3","0","Media Protection Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented media protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among org","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the media protection family. The policy and procedures are consistent with applicabl","1","325","1"
"MP-2","3","0","Media Access","The organization restricts access to [ Assignment: organization-defined types of digital and non-digital media ] to [ Assignment: organization-defined list of authorized individuals ] using [ Assignment: organization-defined security measures ].","Information system media includes both digital media (e.g., diskettes, magnetic tapes, external/removable hard drives, flash/thumb drives, compact disks, digital video disks) and non-digital media (e.g., paper, microfilm). This control also applies to mob","1","326","1"
"MP-3","2","0","Media Marking","The organization: Marks, in accordance with organizational policies and procedures, removable information system media and information system output indicating the distribution limitations, handling caveats, and applicable security markings (if any) of th","The term marking is used when referring to the application or use of human-readable security attributes. The term labeling is used when referring to the application or use of security attributes with regard to internal data structures within the informati","1","329","1"
"MP-4","2","0","Media Storage","The organization: Physically controls and securely stores [ Assignment: organization-defined types of digital and non-digital media ] within [ Assignment: organization-defined controlled areas ] using [ Assignment: organization-defined security measures ]","Information system media includes both digital media (e.g., diskettes, magnetic tapes, external/removable hard drives, flash/thumb drives, compact disks, digital video disks) and non-digital media (e.g., paper, microfilm). This control also applies to mob","1","330","1"
"MP-5","2","0","Media Transport","The organization: Protects and controls [ Assignment: organization-defined types of digital and non-digital media ] during transport outside of controlled areas using [ Assignment: organization-defined security measures ]; Maintains accountability for inf","Information system media includes both digital media (e.g., diskettes, magnetic tapes, removable hard drives, flash/thumb drives, compact disks, digital video disks) and non-digital media (e.g., paper, microfilm). This control also applies to mobile compu","1","332","1"
"MP-6","3","0","Media Sanitization","The organization: Sanitizes information system media, both digital and non-digital, prior to disposal, release out of organizational control, or release for reuse; and Employs sanitization mechanisms with strength and integrity commensurate with the class","This control applies to all media subject to disposal or reuse, whether or not considered removable. Sanitization is the process used to remove information from information system media such that there is reasonable assurance that the information cannot b","1","337","1"
"PE-1","3","0","Physical and Environmental Protection Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented physical and environmental protection policy that addresses purpose, scope, roles, responsibilities, management commitment, c","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the physical and environmental protection family. The policy and procedures are cons","1","344","1"
"PE-2","3","0","Physical Access Authorizations","The organization: Develops and keeps current a list of personnel with authorized access to the facility where the information system resides (except for those areas within the facility officially designated as publicly accessible); Issues authorization cr","Authorization credentials include, for example, badges, identification cards, and smart cards. Related control: PE-3, PE-4.","1","345","1"
